koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.807771,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Pasar Santa,Jalan Robert Wolter Monginsidi,-6.239207
106.800374,2024,Kota Adm. Jakarta Barat,Palmerah,Grogol Petamburan,Tomang Raya,Jalan Tomang Raya,-6.176875
106.822799,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Kebon Sirih Arah Utara,Jalan Mohammad Husni Thamrin,-6.182776
106.904886,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pemuda Merdeka,Jalan Pemuda,-6.19241
106.880332,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Rawamangun,Jalan Pemuda,-6.192931
106.86457,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Utan Kayu,Jalan Pramuka,-6.192728
106.874036,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Utan Kayu Rawamangun,Jalan Ahmad Yani,-6.197515
106.785521,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Velbak,Jalan Kebayoran Baru,-6.239433
106.8883,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Velodrome,Jalan Pemuda,-6.193468
106.945367,2024,Kota Adm. Jakarta Timur,Cakung,Penggilingan,Walikota Kota Adm. Jakarta Timur,Jalan Doktor Sumarno,-6.21254
106.893135,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Walikota Kota Adm. Jakarta Utara Arah Utara,Jalan Yos Sudarso,-6.118842
106.893468,2024,Kota Adm. Jakarta Utara,Koja,Koja,Walikota Kota Adm. Jakarta Utara Arah Selatan,Jalan Yos Sudarso,-6.118845
106.829766,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Warung Jati,Jalan Mampang Prapatan Raya,-6.262364
106.881693,2024,Kota Adm. Jakarta Utara,Kelapa Gading,Tanjung Priok,Kodamar,Jalan Yos Sudarso,-6.162043
106.797833,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,CSW 2,Jalan Kyai Maja,-6.239861
106.8232317,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Kebon Sirih Arah Selatan,Jalan Mohammad Husni Thamrin,-6.184195
106.822855,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Monumen Nasional,Jalan Medan Merdeka Barat,-6.176248
106.876002,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pulo Mas Bypass,Jalan Ahmad Yani,-6.176953
106.726023,2024,Kota Tangerang,Ciledug,Larangan Utara,Puri Beta 1,Jalan Ciledug Raya,-6.230596
106.723705,2024,Kota Tangerang,Ciledug,Larangan Utara,Puri Beta 2,Jalan Haji Oemar Said Cokroaminoto,-6.230532
106.819485,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Ragunan,Trans Jakarta Busway Koridor 6,-6.305769
106.816243,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Rawa Barat,Jalan Robert Wolter Monginsidi,-6.238947
106.726188,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Rawa Buaya,Jalan Daan Mogot,-6.153916
106.858088,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Rawa Selatan,Jalan Letnan Jenderal Suprapto,-6.173925
106.959869,2024,Kota Adm. Jakarta Timur,Cakung,Ujung Menteng,Raya Bekasi Pulo Gebang,Jalan Bekasi Raya,-6.187604
106.868028,2024,Kota Adm. Jakarta Timur,Ciracas,Pasar Rebo,Trikora,Jalan Raya Bogor,-6.301956
106.790973,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Kali Grogol Arah Selatan,Jalan Latu Menten,-6.160376
106.838075,2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Pancoran Arah Timur,Jalan MT Haryono,-6.241571
106.87027,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Sumur Batu,Jalan Letnan Jenderal Suprapto,-6.168676
106.796746,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Roxy,Jalan Kyai Tapa,-6.166294
106.81011,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Tarakan,Jalan Kyai Caringin,-6.171146
106.836739,2024,Kota Adm. Jakarta Pusat,Senen,Senen,RSPAD,Sal PHB Jalan Kwini,-6.175485
106.8372,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Pancoran Arah Barat,Jalan Jenderal Gatot Subroto,-6.241672
106.796743,2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kota Bambu Arah Utara,Jalan Letnan Jenderal Siswondo Parman,-6.184489
106.851016,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Paseban,Jalan Salemba Raya,-6.196781
106.848912,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Salemba,Jalan Salemba Raya,-6.193373
106.822987,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,MH Thamrin,Jalan Mohammad Husni Thamrin,-6.188149
106.797088,2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kota Bambu Arah Selatan,Jalan S Parman,-6.185221
106.792228,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Tanjung Duren Arah Barat,Jalan Letnan Jenderal S. Parman,-6.175587
106.793075,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Tanjung Duren Arah Timur,Jalan Letnan Jenderal S. Parman,-6.175799
106.842505,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Pasar Senen,Jalan Letnan Jenderal Suprapto,-6.178211
106.841973,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Senen Sentral,Jalan Kramat Raya,-6.178287
106.771205,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Seskoal,Jalan Ciledug Raya,-6.238064
106.830237,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Setiabudi,Jalan Hajjah R. Rasuna Said,-6.209189
106.786471,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Simprug,Jalan Teuku Nyak Arief,-6.233935
106.859289,2024,Kota Adm. Jakarta Timur,Matraman,Matraman,Kesatrian,Jalan Matraman,-6.208533
106.808407,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Gerbang Pemuda Arah Barat,Jalan Jenderal Gatot Subroto,-6.213906
106.809004,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Gerbang Pemuda Arah Timur,Jalan Gatot Subroto,-6.214145
